"OBJ_ID","OBJ_NAME","OBJ_CODE","IS_OBJ","IS_TYPE","IS_CTX","IS_ATTR","IS_PARAM","IS_PROP"
"0","OBJECT","OBJ","1","1","1","1","1","1"
"1","CONTEXT","CTX","1","1","1","1","1","1"
"2","TYPE","TYPE","1","1","1","1","1","1"
"3","ATTRIBUTE","ATTR","1","1","0","0","0","0"
"4","PARAMETER","PARAM","1","1","0","0","0","0"
"5","PROPERTY","PROP","1","1","0","0","0","0"
"6","GROUP","GRP","1","1","1","1","0","1"
"7","MEMBER","MBR","1","1","0","1","0","1"
"8","MESSAGE","MSG","1","1","0","1","1","0"
"9","REFERENCE","REF","1","1","0","1","1","1"
"10","CONFIGURATION","CFG","1","1","1","0","0","0"
"11","APPLICATION","APP","1","1","1","0","0","0"
"12","SYSTEM","SYS","1","1","1","0","0","0"
"13","MODULE","MOD","1","1","1","0","0","0"
"14","PROGRAM","PRG","1","1","0","1","0","0"
"15","SUBCONTEXT","SUBCTX","1","1","0","1","1","1"
"16","SUBTYPE","SUBTYPE","1","1","0","1","1","1"
"17","ITEM","ITM","1","1","0","1","0","1"
"18","SUB","SUB","1","1","0","1","0","1"
"19","LEVEL","LEV","1","1","0","1","0","1"
"20","RANK","RNK","1","1","0","1","1","1"
"21","PROCESS","PRC","1","1","1","0","0","0"
"22","METHOD","MTHD","1","1","1","1","0","0"
"23","CATEGORY","CAT","1","1","0","1","1","1"
"24","CATALOG","CATLG","1","1","0","1","0","0"
"25","LIBRARY","LIB","1","1","0","0","0","0"
"26","ENTRY","ENTR","1","1","0","0","1","1"
"27","RECORD","REC","1","1","0","0","1","1"
"28","AUTHORIZATION","AUT","1","1","1","0","0","0"
"29","AUTHENTIFICATION","AUTH","1","1","1","0","0","0"
"30","SECURITY","SEC","1","1","1","0","0","0"
"31","IDENTITY","ID","1","1","1","1","1","1"
"32","AUDIT","AUD","1","1","1","0","0","0"
"33","LANGUAGE","LANG","1","1","0","1","1","1"
"34","FOLDER","FLDR","1","1","0","0","1","0"
"35","DIRECTORY","DIR","1","1","0","0","1","0"
"36","SCHEDULE","SCHED","1","1","0","0","1","0"
"37","EXECUTABLE","EXE","1","1","0","0","1","0"
"38","CONDITION","COND","1","1","0","1","0","0"
"39","DATABASE","RDBMS","1","1","1","0","0","0"
"40","SQL","SQL","1","1","1","0","0","0"
"41","USER","USR","1","1","1","0","0","0"
"42","SOURCE","SRC","1","1","0","1","1","0"
"43","TABLE","TAB","1","1","0","1","1","0"
"44","COLUMN","COL","1","1","0","1","0","0"
"45","INDEX","IDX","1","1","0","1","0","0"
"46","SCHEMA","SCHEMA","1","1","1","1","1","0"
"47","DATATYPE","DTYPE","1","1","0","1","1","0"
"48","SCRIPT","SCR","1","1","0","1","1","0"
"49","COMMAND","CMD","1","1","0","1","1","0"
"50","RETURN","RET","1","1","0","1","1","1"
"51","INPUT","INP","1","1","0","1","1","1"
"52","OUTPUT","OUTP","1","1","0","1","1","1"
"53","REPORT","REP","1","1","0","0","0","0"
"54","LIST","LST","1","1","0","0","0","0"
"55","NAME","NAME","1","1","0","1","1","1"
